Infectados,dias
31.7670504586817,1
32.6466945746932,2
33.5499820348007,3
34.4780400036267,4
35.4301016586564,5
36.4065932388482,6
37.407514744202,7
38.435530644344,8
39.4926793918967,9
40.5769385743986,10
41.6883081918498,11
42.833616111148,12
44.0091213360969,13
45.2147919030764,14
46.453676185175,15
47.7282032411782,16
49.0360043877165,17
50.3770796247899,18
51.7574812246508,19
53.1754697204064,20
54.6319105685061,21
56.1277206723243,22
57.6638169352353,23
59.2411162606135,24
60.8605355518332,25
62.5229917122688,26
64.2319860542796,27
65.988688431299,28
67.7928017682831,29
69.6454055011879,30
71.547579065969,31
73.5004018985824,32
75.5049534349838,33
77.562313111129,34
79.6749689889292,35
81.8485378794933,36
84.08052095863,37
86.3722440125967,38
88.7250328276505,39
91.1402131900486,40
93.6191108860481,41
96.1630517019064,42
98.7733614238804,43
101.458461001704,44
104.216388674116,45
107.047785861621,46
109.954283518639,47
112.93751259959,48
115.999104058893,49
119.140688850967,50
122.363897930232,51
125.674766859957,52
129.077681105545,53
132.570660293331,54
136.155695275862,55
139.83477690568,56
143.609896035332,57
147.48304351736,58
151.45621020431,59
155.532186983454,60
159.720921086268,61
164.019504501222,62
168.430602372186,63
172.956926439104,64
177.601235037998,65
182.366333100962,66
187.255072156165,67
192.270350327853,68
197.415112336345,69
202.692349498035,70
208.105615111259,71
213.661138929004,72
219.359730501262,73
225.204754297588,74
231.199631712401,75
237.347841064991,76
243.652917599513,77
250.11845348499,78
256.748097815314,79
263.545556609244,80
270.514592810404,81
277.659496803309,82
284.986163470325,83
292.496980052715,84
300.196068137182,85
308.087613459308,86
316.175865903555,87
324.465139503263,88
332.959812440653,89
341.664327046825,90
350.583189801759,91
359.720971334312,92
369.082323983891,93
378.672001988544,94
388.494724140841,95
398.55532162495,96
408.858689991852,97
419.409789159334,98
430.213643411995,99
441.275341401246,100
452.600036145303,101
464.192945029197,102
476.059349804765,103
488.203400399625,104
500.627675792481,105
513.340038552792,106
526.345801548886,107
539.650329588456,108
553.259039418563,109
567.177399725635,110
581.410931135466,111
595.965206213214,112
610.845849463407,113
626.058537329937,114
641.60507634605,115
657.484200923825,116
673.708068923478,117
690.281926051664,118
707.211034982938,119
724.500675359765,120
742.156143792508,121
760.182753859439,122
778.585836106731,123
797.370738048464,124
816.54282416662,125
836.092076140351,126
856.005290486754,127
876.310017814357,128
897.010425593611,129
918.110644249112,130
939.6147671596,131
961.526850657963,132
983.850914031234,133
1006.59093952059,134
1029.75087232136,135
1053.334620583,136
1077.34605540914,137
1101.78901085753,138
1126.66728394008,139
1151.98463462284,140
