activos,acumulados,dia
14.0498830643106,75.9709243584233,1
14.7368851738905,79.2040110262505,2
15.4549314980785,82.5694800124148,3
16.2041976710028,86.0591250734307,4
16.9894115901482,89.6981559141649,5
17.8101778210168,93.4763382783069,6
18.6718558399269,97.4128681087733,7
19.5717488842476,101.515423398437,8
20.5174433654301,105.775551455707,9
21.5073138754218,110.226119977193,10
22.544281377492,114.860169412835,11
23.6330027578353,119.675690359101,12
24.7709403160978,124.712307970338,13
25.9676373703285,129.95067364761,14
27.2221673669209,135.40080328479,15
28.5369473943262,141.095790949331,16
29.9143945409957,147.029928175637,17
31.356925895381,153.211881948777,18
32.8669585459332,159.650319253819,19
34.4557598876899,166.353907075828,20
36.1214844690512,173.331312399874,21
37.8668075986745,180.602143300726,22
39.6947490293911,188.20095998568,23
41.6083285140321,196.11738808892,24
43.6105658054287,204.362237652792,25
45.7173453220185,212.946318719644,26
47.9272422229969,221.880441331821,27
50.2426788289861,231.175415531671,28
52.6676584771649,240.85923040111,29
55.206184504712,250.985764484772,30
57.8622602488062,261.534479380962,31
60.6554001049575,272.51966985359,32
63.5868299213829,283.95563066657,33
66.6584034698748,295.856656583813,34
69.8754697190003,308.237042369233,35
73.2433776373263,321.133581336046,36
76.76747619342,334.620351721261,37
80.4709840108919,348.668561005815,38
84.3597715051985,363.297235579504,39
88.4346570312443,378.525401832128,40
92.7027716348514,394.372086153485,41
97.1712463618417,410.856314933372,42
101.847212258037,428.025482745795,43
106.753300669769,445.978562787906,44
111.903655863453,464.677507435624,45
117.301497762836,484.14753605505,46
122.958061141217,504.413868012281,47
128.884939896359,525.50172267342,48
135.094087050486,547.436319404564,49
141.597814750282,570.269658597085,50
148.421497297618,594.113634157088,51
155.575840523029,618.945483515489,52
163.073905965033,644.803735109427,53
170.931453807734,671.72798217727,54
179.164764354565,699.758882758611,55
187.790638028292,728.938159694274,56
196.826916503999,759.308600626311,57
206.31067958178,790.934621937981,58
216.251079928754,823.898731136915,59
226.669315603847,858.221787350669,60
237.587302663407,893.956932425374,61
249.027675161204,931.158817583375,62
261.01378514843,969.883603423231,63
273.575064235653,1010.18895991971,64
286.754751891569,1052.13406642381,65
300.568932528461,1095.80979757291,66
315.046907759338,1141.3108360874,67
330.218955258282,1188.67647482276,68
346.116328760447,1237.97892333604,69
362.771258062061,1289.29240726723,70
380.231680153808,1342.69316833918,71
398.54691014913,1398.25946435768,72
417.743172224785,1456.0715692114,73
437.86096279089,1516.25534935658,74
458.9421136207,1578.92048541208,75
481.029791850608,1644.12988636389,76
504.168499980143,1711.9801367962,77
528.435699257533,1782.5704310298,78
553.88299283731,1856.00257312203,79
580.553151561928,1932.38097686684,80
608.502182020595,2011.81266579473,81
637.787924888751,2094.4697685503,82
668.470054928064,2180.47908191775,83
700.610080986433,2269.93390240009,84
734.352887296033,2362.96164913638,85
769.730270711085,2459.69306313653,86
806.809356050252,2560.26220728134,87
845.667285810478,2664.8064663225,88
886.383609833134,2773.46654688256,89
929.040285304013,2886.46656064177,90
973.721676753339,3003.95165232055,91
1020.51455605576,3126.0563697194,92
1069.64538391982,3252.94568598459,93
1121.16143414698,3384.78867633728,94
1175.15022311489,3521.75851807354,95
1231.72309324889,3664.03249056439,96
1290.99483032699,3811.79197525575,97
1353.08366347989,3965.26758506813,98
1418.11126519098,4124.64862107439,99
1486.20275129633,4290.13107952222,100
1557.68002731999,4461.92487001374,101
1632.63160599929,4640.24561915594,102
1711.17320507678,4825.31476086221,103
1793.46630786786,5017.3596266538,104
1879.67741337133,5216.61353596137,105
1969.97803626933,5423.31588642647,106
2064.54470692742,5637.71224420304,107
2163.5589713945,5860.05443425893,108
2267.46053366964,6090.6006306774,109
2376.41226014222,6329.44724501627,110
2490.56910671849,6576.95119348554,111
2610.16458339764,6833.38960111814,112
2735.43944395531,7099.03256503658,113
2866.64168594354,7374.15563731373,114
3004.02655069081,7659.03986091359,115
3147.85652330203,7953.97180563204,116
3298.50871281872,8259.24360403761,117
3456.3328885962,8575.15298741223,118
3621.64385797613,8902.00332169197,119
3794.80288557149,9240.10364340785,120
