dias,Infectados
1,16.9675848591017
2,17.7420538952473
3,18.5499381737975
4,19.3895626654086
5,20.2674139008563
6,21.1811017885912
7,22.1382719646957
8,23.1355422824170
9,24.1775036935570
10,25.2673168223693
11,26.4030236470875
12,27.5937941207945
13,28.8355638133191
14,30.1324442618299
15,31.4895013014603
16,32.9072279516993
17,34.3879439011849
18,35.9339688385546
19,37.5499430307776
20,39.2402906156438
21,41.0060364843989
22,42.8499771068288
23,44.7749089527194
24,46.7864533110771
25,48.8912642744005
26,51.0899574204295
27,53.3860224808227
28,55.7829491872386
29,58.2870937145043
30,60.9077148722087
31,63.6452264611872
32,66.5039840257860
33,69.4883431103511
34,72.6054017814163
35,75.8677285235283
36,79.2754860413421
37,82.8340949952050
38,86.5489760454649
39,90.4275005961732
40,94.4849334571889
41,98.7234760784125
42,103.150848964444
43,107.775012891001
44,112.604168904918
45,117.646758324146
46,122.916620526605
47,128.422481767603
48,134.173193389828
49,140.179135901872
50,146.451012101283
51,152.999847074566
52,159.839352210635
53,166.986660284862
54,174.451113199070
55,182.246173634917
56,190.385726560805
57,198.884079231876
58,207.755961190017
59,217.025508097052
60,226.705862748157
61,236.813435570990
62,247.366090122772
63,258.382232215625
64,269.880809916567
65,281.886289312888
66,294.424788655079
67,307.513741920372
68,321.175997651537
69,335.435095872601
70,350.315268088850
71,365.841445540440
72,382.055134447132
73,398.975518937649
74,416.631625907348
75,435.053355551927
76,454.271481367433
77,474.317650150257
78,495.239680004820
79,517.076922634677
80,539.856061418436
81,563.614532529714
82,588.390799162831
83,614.224351532806
84,641.155706875363
85,669.226409446924
86,698.479030524617
87,729.006914849480
88,760.827301231968
89,793.988584293511
90,828.541498961950
91,864.538071352323
92,902.031618766864
93,941.076749695009
94,981.729363813390
95,1024.05499326957
96,1068.12740719771
97,1114.00145068901
98,1161.74298151577
99,1211.41962920743
100,1263.10079505059
