activos,acumulados,dia
137.31006,656.4694016,1
139.806801,670.0953439,2
142.3477258,683.9931543,3
144.9345439,698.1738195,4
147.5683522,712.6408507,5
150.2483811,727.3918731,6
152.9746306,742.4268869,7
155.7471007,757.7458919,8
158.5657914,773.3488883,9
161.4349869,789.3091455,10
164.3635734,805.596429,11
167.3431634,822.1974446,12
170.3737571,839.1121924,13
173.4553543,856.3406723,14
176.5879552,873.9493734,15
179.7824757,891.9380205,16
183.04,910.2759598,17
186.3543327,928.9631913,18
189.7254737,947.9997149,19
193.1534231,967.4347812,20
196.6381809,987.3036806,21
200.1981949,1007.559528,22
203.8230838,1028.202323,23
207.5110251,1049.232067,24
211.2620187,1070.674988,25
215.0760646,1092.600413,26
218.9564156,1114.964788,27
222.9178801,1137.775719,28
226.9508953,1161.040808,29
231.0566173,1184.76766,30
235.2362023,1208.963879,31
239.4908061,1233.637069,32
243.821585,1258.794833,33
248.229695,1284.444777,34
252.7162921,1310.594504,35
257.2825324,1337.251618,36
261.929572,1364.423724,37
266.6585669,1392.118424,38
271.4706732,1420.394778,39
276.367047,1449.269617,40
281.3488442,1478.711887,41
286.4332843,1508.730632,42
291.6119296,1539.334897,43
296.8835717,1570.533727,44
302.2496202,1602.336167,45
307.7114846,1634.751261,46
313.2705745,1667.788055,47
318.9282995,1701.455593,48
324.686069,1735.76292,49
330.5452927,1770.719082,50
336.5073801,1806.333122,51
342.5737408,1842.614087,52
348.7457843,1879.681566,53
355.0249202,1917.491073,54
361.412558,1956.026555,55
367.9242313,1995.299111,56
374.5657632,2035.319841,57
381.3262244,2076.099843,58
388.2074155,2117.650218,59
395.2111372,2159.982065,60
402.3391904,2203.106482,61
409.5933755,2247.03457,62
416.9754935,2291.777428,63
424.487345,2337.346154,64
432.1307307,2383.751849,65
439.9074512,2431.010683,66
447.8193075,2479.282841,67
455.8681,2528.458628,68
464.0556296,2578.551399,69
472.3890729,2629.574509,70
480.8990095,2681.541315,71
489.5609174,2734.465173,72
498.3771025,2788.359438,73
507.3498709,2843.237465,74
516.4815286,2899.112611,75
525.7743817,2955.998232,76
535.230736,3013.907683,77
544.8528977,3072.854319,78
