Fecha,Inf Acumulado,MCL,MCLG,MCR,MCRG,MCG,MCGG
26/07/20,,8636,8102,8331,8231,8218,8064
27/07/20,,8818,8276,8513,8412,8391,8238
28/07/20,,9000,8452,8697,8596,8567,8414
29/07/20,,9182,8631,8884,8782,8744,8593
30/07/20,,9365,8812,9072,8972,8923,8775
31/07/20,,9547,8995,9263,9164,9104,8960
01/08/20,,9729,9182,9456,9359,9287,9146
02/08/20,,9911,9370,9651,9556,9471,9336
03/08/20,,10092,9562,9848,9757,9657,9528
04/08/20,,10272,9756,10047,9961,9846,9723
05/08/20,,10452,9952,10248,10167,10035,9921
06/08/20,,10631,10151,10451,10377,10227,10121
07/08/20,,10808,10353,10656,10589,10420,10325
08/08/20,,10984,10558,10862,10804,10616,10530
09/08/20,,11159,10765,11071,11023,10812,10739
10/08/20,,11333,10975,11282,11244,11011,10951
11/08/20,,11505,11187,11494,11468,11211,11165
12/08/20,,11675,11403,11709,11696,11412,11382
13/08/20,,11843,11621,11925,11927,11616,11602
14/08/20,,,,,,,
